"Date","total_ped_nb","total_ped_sb"
"03/01/2016",118,134
"03/02/2016",133,159
"03/03/2016",144,154
"03/04/2016",105,144
"03/05/2016",240,305
"03/06/2016",148,183
"03/07/2016",107,153
"03/08/2016",148,164
"03/09/2016",65,102
"03/10/2016",120,140
"03/11/2016",169,172
"03/12/2016",216,233
"03/13/2016",120,138
"03/14/2016",107,140
"03/15/2016",130,182
"03/16/2016",135,181
"03/17/2016",129,170
"03/18/2016",171,179
"03/19/2016",236,258
"03/20/2016",207,200
"03/21/2016",141,140
"03/22/2016",167,216
"03/23/2016",91,155
"03/24/2016",126,175
"03/25/2016",172,179
"03/26/2016",218,255
"03/27/2016",82,123
"03/28/2016",148,200
"03/29/2016",146,226
"03/30/2016",201,212
"03/31/2016",241,185
